Unnamed: 0,IdPost,Thread,Content Cleaned,Label,Sentiment
7000,24276517,2658572,"I've got $30PP already, I need about $20PP more, anyone want to do $15LR for $20PP?
				
				
				

My baby girl        

    ",0,0
7001,24276179,2658572,"You need to be trusted and I will not be going first. Thank you.
				
				
				

My baby girl        

    ",0,0
7002,24378300,2667051,"I have 68LR for 80PP if you want it.
				
				
				

My baby girl        

    ",0,0
7003,24379124,2668120,"   

He has sent me the money via PP and I have sent him his. Exchange complete.
				
				
				

My baby girl        

    ",0,0
7004,24377533,2668120,"I need this done ASAP, I will not go first, post before PM'ing or I will not reply.
				
				
				

My baby girl        

    ",0,0
7005,51979481,5365054,"So fucked up lmao. But made me think of this story that happened a few months ago?? Im not sure tbh.
So this girl let like 20 dudes run a train on her in the school bathroom and got caught through snapchat stories. Turns out she used to be a sex slave or prostitute and she moved there to start a new life.",0,0
7006,25203871,2749901,"Hey guys and girls once again i have a odd number of lr i wish to get rid of 

$9.23 
hmu with offers on the thread i will pm you back if i like your offer :)",0,0
7007,24174121,2647906,"Instead of being a girl
Go on omegele and say 
Hey wanna see my cock.
Its sometimes more effective for some reason.
I just said that once and the guy wanted a picture..",0,0
7008,25392837,2766874,"   

He want's payza i guess , he have lr. Please read post :P
				
				
				

Who are sikh ?  Learn here  

I follow a fact that you should always respect women ,always be good to others and should not ever cheat annyone.",0,0
7009,25392581,2766874,"got like 400+ payza , can show via tv. Let me know via pm if you wanna deal with me.
				
				
				

Who are sikh ?  Learn here  

I follow a fact that you should always respect women ,always be good to others and should not ever cheat annyone.",0,0
7010,25589172,2775882,"Sent you my Skype info. 

Thank you.

Remaining stock: $8000
				
				
				

Who are sikh ?  Learn here  

I follow a fact that you should always respect women ,always be good to others and should not ever cheat annyone.",0,0
7011,25585748,2775882,"You can also buy $1000 for current market price. Let me know if interested I  got 2000$ from my supplier in my account.

1000 for grim and 1000 for me or anyone wanna buy.

To all others - I can also take paypal with some extra % but i dn't really trust people with paypal except Gwapo.
				
				
				

Who are sikh ?  Learn here  

I follow a fact that you should always respect women ,always be good to others and should not ever cheat annyone.",0,0
7012,25494217,2775882,"yea, .50 INR less from xe price , if bought 3000.

yea i can do neft with you , minimum buy is $1000.
				
				
				

Who are sikh ?  Learn here  

I follow a fact that you should always respect women ,always be good to others and should not ever cheat annyone.",0,0
7013,25487497,2775882,"<3 ty for vouch. That was kind of nice :)
				
				
				

Who are sikh ?  Learn here  

I follow a fact that you should always respect women ,always be good to others and should not ever cheat annyone.",0,0
7014,25485625,2775882,"Selling it for current market price , Minimum buy is $1000.

Will sell it for .50 Pesa less than current market price  if you will buy $3000

Deal will take place in real in New Delhi (we'll meet) or you send money first in account.

Stock : $10,000.


Let me know.
				
				
				

Who are sikh ?  Learn here  

I follow a fact that you should always respect women ,always be good to others and should not ever cheat annyone.",0,0
7015,25936773,2817657,"Don't worry guys, Eric is feeding me. No need to worry about poor vinnie no more.
				
				
				

My baby girl        

    ",0,0
7016,25936625,2817657,"I am still looking for an exchange, I need to eat LOL.
				
				
				

My baby girl        

    ",0,0
7017,25936020,2817657,"Got $20 Lr I need $23 PayPal, if you're interested post and PM. GLWS vinnie!    

Story of my life, I forgot my credit card at home and I need this exchanged ASAP in order to get some lunch ROFL. Anyone that helps will forever be in my good books    
				
				
				

My baby girl        

    ",0,0
7018,25962746,2819582,"If you want I'll offer you $55 PP for your $50 LR.
				
				
				

My baby girl        

    ",0,0
7019,25961256,2819882,"If you can give it for 55 , i can buy all. Msg me if interested.

<No scam report + 90% rep is from exchanges
				
				
				

Who are sikh ?  Learn here  

I follow a fact that you should always respect women ,always be good to others and should not ever cheat annyone.",0,0
7020,25998634,2822216,"Hit me up if you're interested.

   
				
				
				

My baby girl        

    ",0,0
7021,25999540,2822888,"Like I said I will go first and PM me if you want to deal.
				
				
				

My baby girl        

    ",0,0
7022,25998597,2822888,"Hit me up if you want to do this,

   
				
				
				

My baby girl        

    ",0,0
7023,25999274,2823402,"   

What are your terms? Just post them here.
				
				
				

My baby girl        

    ",0,0
7024,25998440,2823402,"Basically I need $150 LR for my PayPal. I'm willing to give you $160 PP for the LR. Hit me up asap as I need it done. Thanks in advance.    
				
				
				

My baby girl        

    ",0,0
7025,26002232,2823621,"I'll give you $50PP for your 40LR. PM me.
				
				
				

My baby girl        

    ",0,0
7026,26019174,2824189,"   

I got $48LR left. IF you want we can do the $48 fro your $60    

@Anyone else HMU.
				
				
				

My baby girl        

    ",0,0
