Unnamed: 0,IdPost,Thread,Content Cleaned,Label,Sentiment
8000,20940737,2320734,"Omegle

Tagged is a good one I made a account and put the profile pic as a pic of a hot girl and with in a hour I had 30 messages",0,0
8001,20940712,2320734,"I have tried the following sites and I do not want you to suggest them:
- Chat Ave Teen
- Chat ave adult 
- Chat ave girls only.
- Craigslist

Anybody have any sites they use ?",0,0
8002,20922410,2318536,"  Bailey: Im a lucky girl xx
  jonnyboy: me too

He's a girl lol.",0,0
8003,48911515,5089620,"""Caitlyn Jenner winning woman of the year proves that men are better than women at everything, including being women.""",0,0
8004,20917707,2318273,"It's when you pretend to be a girl and you sell images (or videos) to other men for money. Sometimes you scam them and don't give them anything.

Somebody correct me if I got anything wrong.",0,0
8005,20917690,2318273,its where u pretend to be female (camgirl) and scam douche bags for money :) i just made 30$ like 5 minutes ago lol.,0,0
8006,48907983,5089302,PR is a beautiful island and the women are too.,0,0
8007,12137892,1319814,"   

LMFAO you made me laugh so hard. Anyways it is a girls name.",0,0
8008,20712719,2296264,"   

Why do you keep calling me MFJC?    
Why C#? There's C, Objective C, C++, all sorts of C.    
I'm really not interested in the history of twBooter.    
When did I try to bribe a girl to fall in love with me?    ",0,0
8009,20712410,2296264,"   

Because 1 was already pointed out earlier today, and that's the only reason you're able to make this thread. mfjc, you don't know shit about coding and wouldn't be able to tell PHP from C# without any help. I already stated that while I created twBooter (the client version -- well, the hub of it -- and the web version v1.5-2), I knew very little PHP. I learned it as I went. You're not going to be able to make me look bad, mfjc. You may as well give up and get back to trying to bribe that girl to fall in love with you",0,0
8010,48119443,4985901,"Seller is legit as fuck,first i thought he got some public or copy paste shit,but no..he shown me code and i took few parts of snippets and goggled etc but didn't find copy traces. Each said features with hook and pe injection is very professionally coded.

pros -
very professional .
Bit price full but he giving 1 free package with 1 buy so its damnn affordable .

cons -
His english is worst than my 3 years old baby girl

GL with sales",0,0
8011,20890211,543425,"Yes, I think I am. People always want to see me on webcam anymore and it's basically impossible. And I can never find any girls in real life who would want to do that :/",0,0
8012,48904408,5088973,"nobody cares what that excop clown says lol.
he also talked about raping a girl bill cosby style, but nobody cared.",0,0
8013,20889066,2315241,Haha so young and busy with girls lol.,0,0
8014,20862517,2312241,"If you wan't to record a girl there are on the cam, then you can use HyperCam or Camtasia Studio.",0,0
8015,20862300,2312241,"I don't really understand what you are trying to say, if you want to make it seem there is a girl on your cam download manycam. If you are trying to record a cam from someone else download Camtasia Studio and record that part of your screen.

Hope I helped :)",0,0
8016,20861749,2312241,"how are you how to rec a girl on cam ?
what program i can use
thank you",0,0
8017,20867480,2312545,"321teenchat could work, just say anything including word girl and boom.",0,0
8018,48897935,5088405,did you hear the white girl in the intro?  Did she say hse prostituted her body for a can of tuna lmao?,0,0
8019,48899137,5088405,"   

Lmao he sould marry the girl lol    ",0,0
8020,48898083,5088405,"   

Girl at my school did it for candy bar.",0,0
